Camera	4.4.020
Chrome	70.0.3538
Docs	1.18.462
Drive	1.18.462
Gmail	8.11.4
Google	8.55.6.21
Maps	10.4.1
Messages	3.7.052
Phone	25.0.220310144
Photos	4.5.0
Instagram	72.0.0	2018-11-29
Skout	6.2.0	2018-11-29
Snapchat	10.45.7	2018-11-29
kik	14.11.1	2018-11-29
TextNow	6.4.0	2018-11-29
TikTok	9.3.0	2018-11-29
Twitter	7.72.0-release 16	2018-11-29
WhatsApp	2.18.361	2018-11-29
Facebook Messenger	193.0.0	2018-11-30
Telegram	4.9.1	2018-11-30
imo	9.8.0	2018-11-30
Signal	4.30.8	2018-12-01
Skype	8.34.0	2018-12-01
Spotify	8.4.82	2018-12-01
AppLock	2.6.8	2018-12-02	07:01
Gallery Vault	2.6.8	2018-12-02	07:10
SHAREIt	4.5.98_ww	2018-12-02	07:57
Viber	9.8.5.20	2018-12-02	07:59
Line	8.18.1	2018-12-02	08:00
WeChat	6.7.3	2018-12-02	12:04
